name,name_short,group,beta,gamma,TotFight,TotFight_Enemy,TotFight_Allied,OBS_SHIFTER,E
LRA: Lord's Resistance Army,LRA,1,0.11401761,0.083189711,19.61538462,179.6153846,1.153846154,-11.556849,6.7713456
UNITA: National Union for the Total Independence of Angola,UNITA,2,0.11401761,0.083189711,0.692307692,52.46153846,37,-11.665914,11.129044
FAA/MPLA: Military Forces of Angola (1975-),ANG,3,0.11401761,0.083189711,1.692307692,98.69230769,142.8461538,-4.7381864,-5.0195131
Military Forces of Uganda (1986-),UGA,4,0.11401761,0.083189711,20.61538462,273.3076923,69.46153846,42.789574,-48.575855
Hutu Rebels,HUTU,5,0.11401761,0.083189711,2.461538462,69.76923077,76.23076923,-11.183076,5.8460894
Military Forces of Burundi (1996-2005),BUR,6,0.11401761,0.083189711,1.384615385,3.384615385,36.92307692,-9.143878,3.8403666
SPLA/M: Sudanese People's Liberation Army/Movement,SPLA/M,7,0.11401761,0.083189711,3.461538462,19.61538462,20.61538462,-13.368469,9.1997156
Military Forces of Sudan (1993-),SUD,8,0.11401761,0.083189711,1.153846154,63.46153846,163.8461538,-4.6881814,-9.8578358
FNL: National Forces of Liberation,FNL,9,0.11401761,0.083189711,0.461538462,92,31.53846154,-17.374584,20.983072
Military Forces of Democratic Republic of Congo (1997-2001) (Kabila L.),FARDC,10,0.11401761,0.083189711,49.30769231,173.7692308,102.8461538,104.48775,-151.06015
ADF: Allied Democratic Forces,ADF,11,0.11401761,0.083189711,6.307692308,117.2307692,78.69230769,-12.015374,6.4975948
RCD: Rally for Congolese Democracy (Goma),RCD-G,12,0.11401761,0.083189711,41.15384615,226.3076923,33.76923077,37.048264,-63.18523
FDLR: Democratic Forces for the Liberation of Rwanda,FDLR,13,0.11401761,0.083189711,31.53846154,59.23076923,59.15384615,-11.571057,-21.775242
Military Forces of Rwanda (1994-1999),RWA-I,14,0.11401761,0.083189711,8,162.7692308,80.23076923,14.579228,-18.173952
Mayi-Mayi Milita,MAYI,15,0.11401761,0.083189711,26.92307692,108.3076923,149.7692308,-10.230607,-24.749584
CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy,CNDD-FDD,16,0.11401761,0.083189711,3.384615385,8.461538462,49.30769231,-13.868924,5.5799937
Military Forces of Zimbabwe (1980-),ZBW,17,0.11401761,0.083189711,3.461538462,78.15384615,149,-6.9392223,-7.0005689
Military Forces of Chad (1990-),CHAD,18,0.11401761,0.083189711,0.230769231,28.23076923,137.9230769,-5.198112,-8.3994493
Interahamwe Hutu Ethnic Militia,INTERH,19,0.11401761,0.083189711,6.615384615,113.3846154,173.1538462,-10.789253,-6.12428
RCD: Rally for Congolese Democracy (Kisangani),RCD-K,20,0.11401761,0.083189711,28.23076923,260.6153846,40.76923077,37.07972,-48.254112
